ID_investigadores,grado_rec,categoria,institucion_estudio,pais_rec,ofos4,ofos1_rec,ambito_trabajo,institución_trabaja,cargo,unidad1,unidad2,ciudad_trabaja,ciudad_trabaja_rec,region_trabaja,numero_publicaciones,numero_publicaciones_wos,Citaciones,impacto_autor,ofos_1
35109557600,Ingeniero Civil Agrícola,1,Universidad de Concepción,ch,"Cultivation of Land, Horticulture",1,1,Universidad de Concepción,Jefe Unidad de Proyectos,Facultad de Ingeniería Agrícola,Departamento de Recursos Hídricos,Chillán,3,8,2,0,1,0,
35180254000,"Máster en Gestión y Planificación de Recursos Hídricos,Ingeniero Civil Hidráulico,Doctor en Ingeniería Hidráulica y Medio Ambiente","3,1,4","Universidad Politécnica de Valencia,Universidad de Chile,Universidad Politécnica de Valencia","es,ch,es","Hydrology,Civil Engineering,Civil Engineering","4,3,3",1,Universidad de Santiago de Chile,Profesor Asistente,Facultad de Ingenieria,Departamento de Ingeniería en Obras Civiles,Santiago,1,14,5,5,25,7.58,4
35188780700,"Ingeniero Comercial,Doctor en Economía Agraria","1,4","Universidad de Concepción,Colorado State University","ch,usa","Economics,Economics","2,2",1,Universidad de Talca,Profesor Asociado,Facultad de Ciencias Agrarias,#s.i.,Talca,5,7,1,0,4,3.11,
35220618300,"Máster en Fertilizantes y Medio Ambiente,Ingeniero en Alimentos,Doctor en Química Agrícola, Alimentaria y Ambiental","3,1,4","Universidad Autónoma de Madrid,Universidad de Santiago de Chile,Universidad Autónoma de Madrid","es,ch,es","Cultivation of Land, Horticulture,Food Technology,Chemistry","1,3,4",1,Universidad de Chile,Profesor Asistente,Facultad de Ciencias Agronómicas,Departamento de Ingeniería y Suelos,Santiago,1,14,2,1,5,3.88,4
35389550600,Geólogo,1,Universidad de Concepción,ch,"Geology, Mineralogy",4,1,Universidad de Chile,Profesor Titular,Facultad de Ciencias Físicas y Matemáticas,Departamento de Geología,Santiago,1,14,1,0,3,2.47,
35608275900,"Doctor en Metalogénesis,Geólogo,Doctor en Ciencias Naturales y Geoquímica","4,1,4","Universidad de París XI,Universidad de Chile,Universidad de París XI","fr,ch,fr","Metallurgy,Geology, Mineralogy,Chemistry","3,4,4",1,Universidad de La Serena,Profesor Titular,Facultad de Ingeniería,Departamento de Ingeniería de Minas,La Serena,4,4,12,12,69,20.99,4
35608752800,"Geólogo,Hidrogeólogo,Máster en Ingeniería","1,1,3","Universidad Estatal de Suslov,Escuela Superior de Prospección Geológica,Universidad Estatal de Suslov","ru,ucra,ru","Geology, Mineralogy,Hydrology,--","4,4,3",1,Universidad de Concepción,Profesor,Facultad de Ciencias Químicas,Departamento de Ciencias de la Tierra,Concepción,7,8,1,1,3,1.74,4
36053387300,"Doctor en Ciencias de la Tierra,Ingeniero Civil: mención Hidráulica, Sanitaria y Ambiental,Doctor en Fluidodinámica","4,1,4","Universidad Blaise Pascal, Clermont-Ferrand,Universidad de Chile,Universidad de Chile","fr,ch,ch","Soil science,Civil Engineering,Physics, Astronomy","1,3,4",1,Universidad de Chile,#s.i.,Facultad de Ciencias Físicas y Matemáticas,Departamento de Ingeniería Civil,Santiago,1,14,1,1,2,4.09,
36084443400,"Máster en Ciencias: mención Limnología ,Biólogo,Doctor en Ciencias Biológicas","3,1,4","Universidad Austral de Chile,,University of London","ch,in","Biology,Biology,Biology","4,4,4",1,Universidad Católica de Temuco,"Profesor, Investigador",Facultad de Recursos Naturales,Escuela de Ciencias Ambientales,Temuco,13,9,2,2,2,1.22,4
36099817900,"Máster en Ingeniería Hidráulica,Ingeniero Agrónomo,Ingeniería Civil: mención Hidráulica,Doctor en Ciencias del Suelo","3,1,1,4","Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,University of Wisconsin, Madison","ch,ch,ch,usa","Civil Engineering,Cultivation of Land, Horticulture,Civil Engineering,Forestry and Wood Industry","3,1,3,1",1,Pontificia Universidad Católica de Chile,Profesor Titular,Escuela de Ingeniería,Departamento de Ingeniería Hidráulica y Ambiental,Santiago,1,14,11,10,59,28.63,1
36158775600,"Master of Arts,Máster en Ciencias de la Ingeniería,Máster en Ciencias,Ingeniero Civil Industrial,Doctor en Ingeniería Eléctrica","3,3,3,1,4","University of Wisconsin, Madison,Pontificia Universidad Católica de Chile,University of Wisconsin, Madison,Pontificia Universidad Católica de Chile,University of Wisconsin, Madison","usa,ch,usa,ch,usa","--,--,--,--,Electrical Engineering, Electronics, Information Engineering","6,3,4,3,3",1,Pontificia Universidad Católica de Chile,Profesor Asistente,Facultad de Ingeniería,Escuela de Ingeniería,Santiago,1,14,1,0,5,0,
36503916100,Profesor en Ciencias Naturales y Biología,1,Pontificia Universidad Católica de Chile,ch,Biology,4,1,Universidad Católica de Temuco,Académico,Facultad de Recursos Naturales,Escuela de Ciencias Ambientales,Temuco,13,9,3,3,5,1.54,4
36727582800,"Máster en Funcionamiento de Ecosistemas,Ingeniero Agrónomo: mención Fruticultura,Doctor en Ciencias Agronómicas","3,1,4","Universidad de Montpellier,Universidad de Chile,Montpellier SupAgro","fr,ch,fr","Biology,Cultivation of Land, Horticulture,Cultivation of Land, Horticulture","4,1,1",1,Universidad de Chile,Profesor Asistente,Facultad de Ciencias Agronómicas,Departamento de Ciencias Ambientales y Recursos Naturales Renovables,Santiago,1,14,4,3,46,12.15,4
36880813200,"Ingeniero Civil: mención Hidráulica Sanitaria y Ambiental,Doctor en Ciencias de la Ingeniería: mención Fluido Dinámica","1,4","Universidad de Chile,Universidad de Chile","ch,ch","Civil Engineering,Physics, Astronomy","3,4",1,Universidad de Chile,Profesor Asistente,Facultad de Ciencias Físicas y Matemáticas,Departamento de Ingeniería Civil,Santiago,1,14,9,8,41,18.81,4
36897386600,"Máster en Ciencias,Ingeniero Civil,Doctor en Ingeniería de Recursos Hídricos","3,1,4","University of California,Universidad de Chile,University of California","usa,ch,usa","--,Civil Engineering,Hydrology","4,3,4",1,Universidad de Chile,Profesor Titular,Facultad de Ciencias Físicas y Matemáticas,Departamento de Ingeniería Civil,Santiago,1,14,15,12,164,38.44,4
36967701900,"Doctor en Ciencias Agrarias,Ingeniero Agrónomo,Licenciado en Agronomía,Máster en Horticultura","4,1,1,3","Universidad de Talca,Universidad de Talca,Universidad de Talca,Universidad de Talca","ch,ch,ch,ch","Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,Cultivation of Land, Horticulture","1,1,1,1",1,Universidad de Talca,Investigador,Centro de Investigación y Transferencia en Riego y Agroclimatología,#s.i.,Talca,5,7,1,0,0,0.15,
36987564300,"Biólogo,Doctor en Ecología","1,4","Cornell University,University of Montana","usa,usa","Biology,Biology","4,4",1,Centro de Investigación en Ecosistemas de la Patagonia,Investigador Residente,#s.i.,#s.i.,Coyhaique,14,12,7,0,41,16.9,
36987929000,"Doctor en Ciencias Biológicas: mención Ecología,Ingeniero Forestal,Máster en Ciencias: mención Recursos Hídricos","4,1,3","Pontificia Universidad Católica de Chile,Universidad de Chile,Universidad Austral de Chile","ch,ch,ch","Biology,Forestry and Wood Industry,Hydrology","4,1,4",1,Instituto de Ecología y Biodiversidad,Coordinador de Investigación,Red Chilena de Investigación Socio-Ecológica a Largo Plazo (LTSER-Chile),#s.i.,Santiago,1,14,4,3,23,4.59,4
37111391600,"Máster en Suelos,Ingeniero Agrónomo,Doctor © en Mejora de Gestión de Recursos Hídricos","3,1,4","Universidad de Concepción,Universidad de Concepción,Universidad de Córdoba","ch,ch,es","Forestry and Wood Industry,Cultivation of Land, Horticulture,Hydrology","1,1,4",1,Universidad de Concepción,Profesor Asociado,Centro de Ciencias Ambientales EULA-Chile,#s.i.,Concepción,7,8,1,1,3,1.47,1
41862238900,"Máster en Ingeniería Agrícola,Ingeniero Agrónomo,Doctor en Recursos Hídricos","3,1,4","Universidad de Concepción,Pontificia Universidad Católica de Valparaíso,Universidad de Concepción","ch,ch,ch","Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,Hydrology","1,1,4",1,Centro del Agua para Zonas Áridas de América Latina y el Caribe,Coordinador de proyectos,#s.i.,#s.i.,La Serena,4,4,7,7,59,17.53,4
51664851200,"Ingeniero Agrónomo,Doctor en Ciencias de la Agricultura","1,4","Pontificia Universidad Católica de Valparaíso,Pontificia Universidad Católica de Chile","ch,ch","Cultivation of Land, Horticulture,Cultivation of Land, Horticulture","1,1",1,Pontificia Universidad Católica de Chile,Profesor Titular,Facultad de Agronomía e Ingeniería Forestal,Departamento de Fruticultura y Enología,Santiago,1,14,7,3,11,4.68,1
52663151300,"Geógrafo,Máster en Geofísica","1,3","Universidad de Chile,Universidad de Chile","ch,ch","Human Geography, Regional Geography, Regional Planning,Physics, Astronomy","2,4",1,Centro de Estudios Científicos,Asistente de investigación,Laboratorio de Glaciología,#s.i.,Valdivia,17,10,4,4,36,9.09,
54391571300,Ingeniero Civil Ambiental,1,Universidad de La Serena,ch,Environmental Engineering,3,1,Universidad de La Serena,Profesor,Facultad de Ingeniería,Departamento de Ingeniería de Minas,La Serena,4,4,1,1,3,1.7,
55091343200,"Licenciado en Química,Químico","1,1","Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile","ch,ch","Chemistry,Chemistry","4,4",1,Universidad de Chile,#s.i.,Facultad de Ciencias Físicas y Matemáticas,Departamento de Ingeniería Civil,Santiago,1,14,1,0,10,4.01,
55173998700,Geógrafo,1,Universidad de Chile,ch,"Human Geography, Regional Geography, Regional Planning",2,1,Centro de Estudios Científicos,Asistente de investigación,Laboratorio de Glaciología,#s.i.,Valdivia,17,10,1,1,11,4.2,
55179443800,Geógrafo,1,Universidad de Chile,ch,"Human Geography, Regional Geography, Regional Planning",2,1,Universidad de Chile,Profesor Asistente,Facultad de Arquitectura y Urbanismo,Escuela de Geografía,Santiago,1,14,1,1,2,1.47,
55180707000,"Máster en Hidrología y Manejo de Cuencas,Ingeniero Forestal,Doctor en Ingeniería en Biosistemas","3,1,4","University of Arizona,Universidad de Chile,University of Arizona","usa,ch,usa","Hydrology,Forestry and Wood Industry,Biology","4,1,4",1,Universidad de Chile,Profesor Titular,Facultad de Ciencias Forestales y de la Conservación de la Naturaleza,Departamento Gestión Forestal y su Medio Ambiente,Santiago,1,14,5,5,29,10.59,4
55181420600,"Licenciado en Educación,Doctor en Ciencias Biológicas","1,4","Universidad de Concepción,Universidad de Málaga","ch,es","Educational Sciences,Biology","2,4",1,Universidad de Concepción,Coordinador,Centro de Ciencias Ambientales EULA-Chile,Unidad de Sistemas Acuáticos,Concepción,7,8,7,7,36,7.19,4
55314354600,"Máster en Gestión sostenible y protección de los recursos hídricos,Diplomado en Gestión de Riesgo de Desastres,Hidrogeóloga,Máster en Hidrogeología","3,2,1,3","Universidad Técnica de Braunschweig,Universidad Politécnica de Cataluña,Universidad de Montpellier,Universidad de Montpellier","al,es,fr,fr","Electrical Engineering, Electronics, Information Engineering,Technical Sciences not elsewhere classified,Hydrology,Hydrology","2,3,4,4",1,Universidad de Concepción,Académico,Facultad de Ciencias Forestales,Departamento Manejo de Bosques y Medio Ambiente,Concepción,7,8,1,0,1,0,
55329133700,"Máster en Ingeniería Sanitaria y Ambiental,Ingeniero Civil,Doctor en Ciencias de la Ingeniería","3,1,4","Universidad del Valle,Universidad del Cauca,Pontificia Universidad Católica de Chile","col,col,ch","Civil Engineering,Civil Engineering,--","3,3,3",1,Pontificia Universidad Católica de Valparaíso,Profesor,Escuela de Ingenieria,#s.i.,Valparaíso,6,5,3,2,9,3.4,3
55436925600,Máster en Ciencias de la Ingeniería,3,,#N/A,--,3,1,Universidad de Concepción,Profesor,Facultad de Ciencias Ambientales,Departamento de Ingeniería Ambiental,Concepción,7,8,1,0,0,0,
55452369000,"Ingeniero Civil,Ingeniero Forestal,Máster en Ingeniería Agrícola: mención en Recursos Hídricos","1,1,3","Universidad Autónoma de Chile,Universidad de Talca,Universidad de Concepción","ch,ch,ch","Civil Engineering,Forestry and Wood Industry,Cultivation of Land, Horticulture","3,1,1",1,Universidad de Talca,Investigador Asociado,Centro Tecnológico de Hidrología Ambiental,#s.i.,Talca,5,7,6,6,19,4.64,4
55452784000,Ingeniero Forestal,1,Universidad de Talca,ch,Forestry and Wood Industry,1,1,Universidad de Talca,Investigador,Centro Tecnológico de Hidrología Ambiental,#s.i.,Talca,5,7,4,4,25,4.5,1
55454169300,Ingeniero Forestal,1,Universidad de Talca,ch,Forestry and Wood Industry,1,1,Universidad de Talca,Investigador,Centro Tecnológico de Hidrología Ambiental,#s.i.,Talca,5,7,6,6,30,7.9,1
55454216700,Ingeniero Forestal,1,Universidad de Talca,ch,Forestry and Wood Industry,1,1,Universidad de Talca,Investigador,Natural Disasters Footprint,#s.i.,Talca,5,7,4,4,25,4.5,1
55519846100,"Máster en Geomática,Ingeniero Civil en Informática","3,1",Universidad de Santiago de Chile,ch,"Geodesy, Surveying,Computer Sciences","3,4",1,Centro de Estudios Científicos,Asistente de investigación,Laboratorio de Glaciología,#s.i.,Valdivia,17,10,2,2,13,3.57,
55543104100,"Profesor en Historia y Geografía,Doctor en Ciencias Ambientales","1,4",Universidad de Concepción,ch,"History, Archaeology,Environmental Engineering","6,3",1,Universidad de Concepción,Investigador,Centro de Ciencias Ambientales EULA-Chile,Unidad de Planificación Territorial y Sistemas Urbanos,Concepción,7,8,1,1,0,0.24,4
55601794900,"Ingeniero Civil,Doctor en Ingeniería Ambiental","1,4","Universidad de Concepción,Universidad de Trento","ch,ita","Civil Engineering,Environmental Engineering","3,3",1,Universidad de La Frontera,Profesor Titular,Facultad de Ingeniería y Ciencias,Departamento de Ingeniería Civil,Temuco,13,9,4,3,73,10.13,4
55605895900,"Sociólogo,Doctor en Sociología y Filosofía","1,4","Universidad de Hannover,Universidad de Hannover","al,al","Sociology,Sociology","2,2",1,Universidad de Concepción,Investigador Asociado,Centro de Ciencias Ambientales EULA-Chile,#s.i.,Concepción,7,8,1,1,0,0.28,2
55630059700,"Máster en Admininistración de Empresas,Ingeniero Eléctrico,Ingeniero Mecánico,Doctor en Ingeniería Mecánica","3,1,1,4","University of Maryland,New York University,New York University,New York University","usa,usa,usa,usa","Economics,Electrical Engineering, Electronics, Information Engineering,Mechanical Engineering,Mechanical Engineering","2,3,3,3",1,Universidad de Los Andes,Académico,Facultad de Ingeniería,#s.i.,Santiago,1,14,2,0,0,3.93,
